fips,countyfull,countyonly,state
45001,Abbeville SC,Abbeville,SC
22001,Acadia Parish LA,Acadia Parish,LA
51001,Accomack VA,Accomack,VA
16001,Ada ID,Ada,ID
19001,Adair IA,Adair,IA
21001,Adair KY,Adair,KY
29001,Adair MO,Adair,MO
40001,Adair OK,Adair,OK
08001,Adams CO,Adams,CO
19003,Adams IA,Adams,IA
16003,Adams ID,Adams,ID
17001,Adams IL,Adams,IL
18001,Adams IN,Adams,IN
28001,Adams MS,Adams,MS
38001,Adams ND,Adams,ND
31001,Adams NE,Adams,NE
39001,Adams OH,Adams,OH
42001,Adams PA,Adams,PA
53001,Adams WA,Adams,WA
55001,Adams WI,Adams,WI
50001,Addison VT,Addison,VT
72001,Adjuntas Municipio PR,Adjuntas Municipio,PR
72003,Aguada Municipio PR,Aguada Municipio,PR
72005,Aguadilla Municipio PR,Aguadilla Municipio,PR
72007,Aguas Buenas Municipio PR,Aguas Buenas Municipio,PR
72009,Aibonito Municipio PR,Aibonito Municipio,PR
45003,Aiken SC,Aiken,SC
27001,Aitkin MN,Aitkin,MN
12001,Alachua FL,Alachua,FL
37001,Alamance NC,Alamance,NC
06001,Alameda CA,Alameda,CA
08003,Alamosa CO,Alamosa,CO
36001,Albany NY,Albany,NY
56001,Albany WY,Albany,WY
51003,Albemarle VA,Albemarle,VA
26001,Alcona MI,Alcona,MI
28003,Alcorn MS,Alcorn,MS
02013,Aleutians East Borough AK,Aleutians East Borough,AK
02016,Aleutians West Census Area AK,Aleutians West Census Area,AK
17003,Alexander IL,Alexander,IL
37003,Alexander NC,Alexander,NC
51510,Alexandria city VA,Alexandria city,VA
40003,Alfalfa OK,Alfalfa,OK
26003,Alger MI,Alger,MI
19005,Allamakee IA,Allamakee,IA
26005,Allegan MI,Allegan,MI
24001,Allegany MD,Allegany,MD
36003,Allegany NY,Allegany,NY
37005,Alleghany NC,Alleghany,NC
51005,Alleghany VA,Alleghany,VA
42003,Allegheny PA,Allegheny,PA
18003,Allen IN,Allen,IN
20001,Allen KS,Allen,KS
21003,Allen KY,Allen,KY
39003,Allen OH,Allen,OH
22003,Allen Parish LA,Allen Parish,LA
45005,Allendale SC,Allendale,SC
26007,Alpena MI,Alpena,MI
06003,Alpine CA,Alpine,CA
06005,Amador CA,Amador,CA
51007,Amelia VA,Amelia,VA
51009,Amherst VA,Amherst,VA
28005,Amite MS,Amite,MS
02020,Anchorage Borough AK,Anchorage Borough,AK
20003,Anderson KS,Anderson,KS
21005,Anderson KY,Anderson,KY
45007,Anderson SC,Anderson,SC
47001,Anderson TN,Anderson,TN
48001,Anderson TX,Anderson,TX
29003,Andrew MO,Andrew,MO
48003,Andrews TX,Andrews,TX
23001,Androscoggin ME,Androscoggin,ME
48005,Angelina TX,Angelina,TX
24003,Anne Arundel MD,Anne Arundel,MD
27003,Anoka MN,Anoka,MN
37007,Anson NC,Anson,NC
31003,Antelope NE,Antelope,NE
26009,Antrim MI,Antrim,MI
04001,Apache AZ,Apache,AZ
19007,Appanoose IA,Appanoose,IA
13001,Appling GA,Appling,GA
51011,Appomattox VA,Appomattox,VA
48007,Aransas TX,Aransas,TX
08005,Arapahoe CO,Arapahoe,CO
48009,Archer TX,Archer,TX
08007,Archuleta CO,Archuleta,CO
72013,Arecibo Municipio PR,Arecibo Municipio,PR
26011,Arenac MI,Arenac,MI
05001,Arkansas AR,Arkansas,AR
51013,Arlington VA,Arlington,VA
42005,Armstrong PA,Armstrong,PA
48011,Armstrong TX,Armstrong,TX
23003,Aroostook ME,Aroostook,ME
72015,Arroyo Municipio PR,Arroyo Municipio,PR
31005,Arthur NE,Arthur,NE
22005,Ascension Parish LA,Ascension Parish,LA
37009,Ashe NC,Ashe,NC
39005,Ashland OH,Ashland,OH
55003,Ashland WI,Ashland,WI
05003,Ashley AR,Ashley,AR
39007,Ashtabula OH,Ashtabula,OH
53003,Asotin WA,Asotin,WA
22007,Assumption Parish LA,Assumption Parish,LA
48013,Atascosa TX,Atascosa,TX
20005,Atchison KS,Atchison,KS
29005,Atchison MO,Atchison,MO
39009,Athens OH,Athens,OH
13003,Atkinson GA,Atkinson,GA
